content,product,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Quote:
Originally Posted by iamblum
My domestic fridge. Was giving me a code with no flame. Opened up the access and blew it out with my mouth to see if that was it. Heard it ""woof"" a few times, so I blew harder and it fired up
You might want to go on the Dometic website and enter your Model/Serial number to see if there are any recalls. Mine had one that the Newmar dealer performed at No Charge.",Heating and Cooling,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The convection feature on our convection/microwave decided to stop working so a new one is on it's way. Should be here Tuesday.,Electrical,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Replaced engine to frame groundstrap. Had erratic starting problems. Found strap corroded and connection points faulty.,Electrical,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"I replaced the Chassis or Engine batteries earlier this year. Just finished replacing the old 24 inch tube Sony TV with a 32 inch LED flatscreen. After removing the wood trim that was around the old TV the new TV just fit in the cabinet. I had to make and install new trim around it. Old TV was 81 lbs and new one is 11 lbs. Now having to add some new tools to offset the weight loss so the front tires
stay on the ground (hehe!!)",Chassis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Quote:
Originally Posted by dutchstr3884
I replaced the Chassis or Engine batteries earlier this year. Just finished replacing the old 24 inch tube Sony TV with a 32 inch LED flatscreen. After removing the wood trim that was around the old TV the new TV just fit in the cabinet. I had to make and install new trim around it. Old TV was 81 lbs and new one is 11 lbs. Now having to add some new tools to offset the weight loss so the front tires
stay on the ground (hehe!!)
I sure would like to see pictures of how the new 32"" fit in the box and how it looks after it is all finished. I would like to replace mine one of these days, but have not found a TV that is square, most are rectangular.",Chassis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Quote:
Originally Posted by RayChez1
I sure would like to see pictures of how the new 32"" fit in the box and how it looks after it is all finished. I would like to replace mine one of these days, but have not found a TV that is square, most are rectangular.
My TV replacement is in progress. The pictures are how I am mounting the TV to fit in a larger sized opening. It will be hinged at the top and have locks at the bottom. This will allow me access to the wiring and also I am installing shelves so the space can be used for storage.
The frame shown is for mock up purposes only. I am in the process of building the real one out of Cherry wood which will be stained to matching the existing cabinet.",Lights,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Quote:
Originally Posted by Rsponsford
What product should be used to coat the fiberglass roof? Mine needs to be done.
Rsponsford,
Just wondering, why do you think you need to coat a fiberglass roof? Most of us with fiberglass roofs just wash them and, put an occasional coat of wax on them. Just wondering.
Scott","Adhesives, Sealants, and Cleaners",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Removed and cleaned the MAF sensor
, and cleared the code to turn off the check engine light. Plan on taking it out for a drive over the weekend to see if that solved the problem. If not then I guess it's time for a new MAF. It didn't LOOK dirty, but I don't know how much (or how little) crud it takes to cause it to throw a code.",Electrical,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thanks to Roger and everyone in the Workhorse Chassis forum I was able to replace the Rotten Green Switch and Light Switch on my Autopark Brake on my 2000 Winnebago Adventurer 32V.,Lights,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"While getting ready for our first trip with our new to us MH she was loaded up and ready to go in the morning. Ahh a month in the Florida Keys.
So I thought i'd spray some silicone on the slide rails before i brought them back in. I notice something strange just inside the right front slide. My flashlight and a magnetic thingy rod and out comes a washer, lock washer and 3/8 nut. Oh no whats broke now before our maiden voyage. Upon further investigation i see where at the end of the slide rail where it attaches to the slide one bolt is missing it's nut, washer and lock washer and one is missing bolt and everything and the rest are extremely loose.
I checked all the rest and got at least 3 to 4 complete turns on the nuts for the remaining. Boy does that slide run smooth now.
Later on i'll remove the nuts and put some blue lock tight on em.
DW returned as i was wrenching em and thought oh no what now.
All is good for now",Door Locks and Parts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"A backing nut came off my air conditioner control on my dash panel
, found it with a mirror and put back on. Somehow feel this was the easy fix.",Heating and Cooling,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Onan 7000 generator was hard to start, vacuum choke would stay on , if choke was opened up by hand, engine seem to run not too bad. After a minute noticed one cylinder was cold. Spark plug
was OK, Spark Ok. Removed rocker cover for that cylinder and found a broken rocker for intake valve. When I replaced the rocker I found the rocker stud was loose and had rotated out several turns out of the cylinder head
. Checked the 3 other rockers , they where all loose as where all the other rocker studs. Tightened studs, adjusted valve clearances and generator has been good since then.",Electrical,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"On maiden voyage realized alt wasn't charging so I had to jump the house and engine batteries to make it home. When it got home I put in the shop and got dash ac charged, steering box adjusted and all fluids/filters changed incl one in air system. Took it on 2400 round trip and dash air went warm and frig was at 70F so back in the shop so hopefully can take it to Oshkosh at the end of the month.",Electrical,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"New air brake chambers on the back wheels and new diaphragms on the front wheels also pulled the drivers side window to repair a water leak then did a chassis lube, last week was a busy one.",Chassis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Our door power awning
stopped working. I determined the awning shaft that attaches to the motor stripped so I disassembled it and put in a set screw to lock them together. Works like new now.",Electrical,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Our 1989 Rexhall Airex has been a good learning machine. Lots of big and little repairs.
It ran well when we bought it but last year it started backfiring when you took your foot off the gas, and using twice as much gas. Ran awful so we parked it. Local mechanics took my money for tuneups but no improvement. Its a Ford 460
fuel injected engine so I went on the Ford 460
forum for a few months. Finally got an old guy who knew the engine. He said to replace the fuel pressure regulator
and idle control valve
. Presto! A wonderful sweet running engine.
It has a Ford chassis and we had the famous ignition key linkage break in the steering column
. This is identified when you go to start the engine, feel a snap when you turn the key, and the key now rotates completely around with no resistence. This requires pulling the steering wheel and tearing the column apart. Lots of tricks. This is common with Fords of this era so fotunately there are lots of excellent you tube videos.
The water heater leaked when we pressurized it this spring. I pulled it out but it was a rusty wreck, not repairable. Went through a long song and dance to find the right replacement but thanks to one knowledgeable RV tech we got one that works.
Continuing to replace all the lights with LED's as I find them on sale.
DonM",Electrical,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Replaced rear Air Springs and shocks.....Fronts are next.....
Wasn't too bad hour and a half it was completed...",Electrical,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Replaced the pawls on our 2008 tow dolly
ratchets.",Electrical,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Back Coleman Mach 8 AC wasn't working and compressor was moaning in pain! Replaced both the START and the RUN capacitor and it runs like a dream. Thank you Amazon Prime!,Heating and Cooling,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Just finished major service, oil, filter, lube chassis, air filter, fuel filter
, trans pan drain and in line filter, and major genny service.
Added 5 star tune to top things off.",Chassis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Learning about how a microwave/convection oven works. Preheated as convection, temp reached and I placed a frozen chicken pie on the glass turntable. Sitting outside for a few minutes when we hear loud crashing/explosive sound. Hmm. Grandson jumping around? After the second or 3rd loud noise we went in and realized it was the oven. Turned it off, and when we opened the glass tray was in several lovely wedge shaped pieces. So, out to dinner, found the part number & ordered from Amazon. Lesson learned, don't forget to put the metal rack in oven for convection cooking! ( or hot glass frozen food do not play well together!)",Electrical,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Well after reading thru this thread I figured I needed to join in. Bought a 2008 Tour Master T40c in mid-June as a trade for our 2008 Hurricane 31H gasser. I really wished I had looked it over more carefully. :-(
Lots of little foibles to fix. The unit has 3 sets of batteries, 2 12v chassis, 2 12v house, and 4 6v house for the inverter stuff like a residential fridge. Dealer said the 4 6v ones were bad and was replacing them for us but didn't have any 6v on hand so put in 4 12v ones wired appropriately. Turns out those were not the house batteries that were bad. Moved 2 of them to the main house area to replace the 2 bad 12v ones there and buying 4 new 6v for the front this week like it should have. At least now the main house 12v works and I can operate lites and other stuff in it.
Door check strap was not working properly so I have that all apart trying to fabricate a fix for it.
Door keyless entry
was not functioning and I just found that it may be just a fuse. (not likely from my experience so far)
I have a ""water in fuel"" warning about 100 miles from the dealer driving it home, but there is no water coming out of the separator so I think either the sensor or filter in it may be bad.
While under the front dealing with batteries I noticed the inside of both front wheels are ""wet"" so I will be doing inner wheel bearing
seals very soon since I need to get it inspected which will also mean replacing brake shoes
.
Anode rod is shot and have new one coming today. Need to flush the HW
tank as well.
And, before we even use it, the wife wants to paint the walls, cabinets and put down new flooring so we have all the doors off and in the garage right now.
Don't get wrong, I'd rather have these issues than have kept the Hurricane. It had its own set of problems that I really didn't want to tackle.
We might get to use it before snow flies. :-)
Scott",Chassis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Quote:
Originally Posted by riverofcode
Well after reading thru this thread I figured I needed to join in. Bought a 2008 Tour Master T40c in mid-June as a trade for our 2008 Hurricane 31H gasser. I really wished I had looked it over more carefully. :-(
Lots of little foibles to fix. The unit has 3 sets of batteries, 2 12v chassis, 2 12v house, and 4 6v house for the inverter stuff like a residential fridge. Dealer said the 4 6v ones were bad and was replacing them for us but didn't have any 6v on hand so put in 4 12v ones wired appropriately. Turns out those were not the house batteries that were bad. Moved 2 of them to the main house area to replace the 2 bad 12v ones there and buying 4 new 6v for the front this week like it should have. At least now the main house 12v works and I can operate lites and other stuff in it.
Door check strap was not working properly so I have that all apart trying to fabricate a fix for it.
Door keyless entry
was not functioning and I just found that it may be just a fuse. (not likely from my experience so far)
I have a ""water in fuel"" warning about 100 miles from the dealer driving it home, but there is no water coming out of the separator so I think either the sensor or filter in it may be bad.
While under the front dealing with batteries I noticed the inside of both front wheels are ""wet"" so I will be doing inner wheel bearing
seals very soon since I need to get it inspected which will also mean replacing brake shoes
.
Anode rod is shot and have new one coming today. Need to flush the HW
tank as well.
And, before we even use it, the wife wants to paint the walls, cabinets and put down new flooring so we have all the doors off and in the garage right now.
Don't get wrong, I'd rather have these issues than have kept the Hurricane. It had its own set of problems that I really didn't want to tackle.
We might get to use it before snow flies. :-)
Scott
Congrats on your TourMaster coach. We had several in our Club and they had Mercedes engines which were very good and powerful engines. It seems like most of the stuff you have to fix are regular maintenance on any motor home
. Like the anodes, they need to be changed out every year. Fact I just done mine on a Suburban ten gallon tank. Got the part through Amazon for thirteen bucks (magnesium) type.
The painting of the cabinets is what is hard for me to imagine why so soon. I have the Walnut wood on mine and we just love it.
The battery thing is also hard to figure out why the dealer would replace six volt batteries with twelve volt batteries. It will work if hooked up properly, but the thing is that deep cycle six volt batteries are much better for the house part. Twelve volt for the chassis, cranking of the engine is just fine.
Best of luck with your new coach.",Electrical,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"I dropped the roof panel of my Coleman Mach unit to try and identify any hot to cool leaks. There is an insulated piece of foam that separates the two sides. I used some duct tape in the cold side to improve the seal. There are only two warm air intakes, both about 2"" x 3"", that are supposed to feed air to the system. That seems quite inadequate. Any known solutions to increase the return air?",Exterior,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""off"" is the best place for wheel covers
.
that goes for Valve core extenders, as well",Chassis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Quote:
Originally Posted by Deny
""off"" is the best place for wheel covers
.
that goes for Valve core extenders, as well
Totally agree! Mine never left the dealer. I tossed the extenders and replaced them with gator caps. You can check and inflate the tire without removing them but they seal the valve stem.
They're a buck apiece from any truck tire shop.
Given the price of RV tires
and the risk of damage from tire failure, I'm a pressure fanatic.",Chassis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Quote:
Originally Posted by AITG
Totally agree! Mine never left the dealer. I tossed the extenders and replaced them with gator caps. You can check and inflate the tire without removing them but they seal the valve stem.
thanks to you guys for the post about the gators. i'd never heard of them before so I did a quick search, understood the concept and ordered from Amazon. They'll be here tomorrow for the motorhome and both of our cars.",Chassis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Lubed slide seals, and slide gears",Electrical,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Replaced a broken shear pin on my main slideout today at the campground.Was getting ready to leave and running slideouts in the main one quit half the way in.Went out and checked the mechanism and the pin had broken ,replaced with a grade 8 bolt and nut and was on my way.Took about 10 mins. as I have done this before ,Camping World says there is nothing wrong withe slideout but it has broken about 6 pins sine I have had this unit.",Exterior,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Quote:
Originally Posted by 06georgieboy
Replaced a broken shear pin on my main slideout today at the campground.Was getting ready to leave and running slideouts in the main one quit half the way in.Went out and checked the mechanism and the pin had broken ,replaced with a grade 8 bolt and nut and was on my way.Took about 10 mins. as I have done this before ,Camping World says there is nothing wrong withe slideout but it has broken about 6 pins sine I have had this unit.
You might rethink using a hardened bolt in your slide out drive.
Sometimes shearing a bolt saves a more expense part.",Exterior,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Finally replaced the Lift Pump on my 8.3 ISC Cummins....stripped the threads on a banjo fitting. Had to get a second replacement pump. This time also ordered ang got new gasket for original pump, to repair and keep on standby.",Exterior,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
