content,product
Back Coleman Mach 8 AC wasn't working and compressor was moaning in pain! Replaced both the START and the RUN capacitor and it runs like a dream. Thank you Amazon Prime!,Heating & Cooling
"Just finished major service, oil, filter, lube chassis, air filter, fuel filter
, trans pan drain and in line filter, and major genny service.
Added 5 star tune to top things off.",Chassis
"Learning about how a microwave/convection oven works. Preheated as convection, temp reached and I placed a frozen chicken pie on the glass turntable. Sitting outside for a few minutes when we hear loud crashing/explosive sound. Hmm. Grandson jumping around? After the second or 3rd loud noise we went in and realized it was the oven. Turned it off, and when we opened the glass tray was in several lovely wedge shaped pieces. So, out to dinner, found the part number & ordered from Amazon. Lesson learned, don't forget to put the metal rack in oven for convection cooking! ( or hot glass frozen food do not play well together!)",Electrical
"Well after reading thru this thread I figured I needed to join in. Bought a 2008 Tour Master T40c in mid-June as a trade for our 2008 Hurricane 31H gasser. I really wished I had looked it over more carefully. :-(
Lots of little foibles to fix. The unit has 3 sets of batteries, 2 12v chassis, 2 12v house, and 4 6v house for the inverter stuff like a residential fridge. Dealer said the 4 6v ones were bad and was replacing them for us but didn't have any 6v on hand so put in 4 12v ones wired appropriately. Turns out those were not the house batteries that were bad. Moved 2 of them to the main house area to replace the 2 bad 12v ones there and buying 4 new 6v for the front this week like it should have. At least now the main house 12v works and I can operate lites and other stuff in it.
Door check strap was not working properly so I have that all apart trying to fabricate a fix for it.
Door keyless entry
was not functioning and I just found that it may be just a fuse. (not likely from my experience so far)
I have a ""water in fuel"" warning about 100 miles from the dealer driving it home, but there is no water coming out of the separator so I think either the sensor or filter in it may be bad.
While under the front dealing with batteries I noticed the inside of both front wheels are ""wet"" so I will be doing inner wheel bearing
seals very soon since I need to get it inspected which will also mean replacing brake shoes
.
Anode rod is shot and have new one coming today. Need to flush the HW
tank as well.
And, before we even use it, the wife wants to paint the walls, cabinets and put down new flooring so we have all the doors off and in the garage right now.
Don't get wrong, I'd rather have these issues than have kept the Hurricane. It had its own set of problems that I really didn't want to tackle.
We might get to use it before snow flies. :-)
Scott",Chassis
"Quote:
Originally Posted by riverofcode
Well after reading thru this thread I figured I needed to join in. Bought a 2008 Tour Master T40c in mid-June as a trade for our 2008 Hurricane 31H gasser. I really wished I had looked it over more carefully. :-(
Lots of little foibles to fix. The unit has 3 sets of batteries, 2 12v chassis, 2 12v house, and 4 6v house for the inverter stuff like a residential fridge. Dealer said the 4 6v ones were bad and was replacing them for us but didn't have any 6v on hand so put in 4 12v ones wired appropriately. Turns out those were not the house batteries that were bad. Moved 2 of them to the main house area to replace the 2 bad 12v ones there and buying 4 new 6v for the front this week like it should have. At least now the main house 12v works and I can operate lites and other stuff in it.
Door check strap was not working properly so I have that all apart trying to fabricate a fix for it.
Door keyless entry
was not functioning and I just found that it may be just a fuse. (not likely from my experience so far)
I have a ""water in fuel"" warning about 100 miles from the dealer driving it home, but there is no water coming out of the separator so I think either the sensor or filter in it may be bad.
While under the front dealing with batteries I noticed the inside of both front wheels are ""wet"" so I will be doing inner wheel bearing
seals very soon since I need to get it inspected which will also mean replacing brake shoes
.
Anode rod is shot and have new one coming today. Need to flush the HW
tank as well.
And, before we even use it, the wife wants to paint the walls, cabinets and put down new flooring so we have all the doors off and in the garage right now.
Don't get wrong, I'd rather have these issues than have kept the Hurricane. It had its own set of problems that I really didn't want to tackle.
We might get to use it before snow flies. :-)
Scott
Congrats on your TourMaster coach. We had several in our Club and they had Mercedes engines which were very good and powerful engines. It seems like most of the stuff you have to fix are regular maintenance on any motor home
. Like the anodes, they need to be changed out every year. Fact I just done mine on a Suburban ten gallon tank. Got the part through Amazon for thirteen bucks (magnesium) type.
The painting of the cabinets is what is hard for me to imagine why so soon. I have the Walnut wood on mine and we just love it.
The battery thing is also hard to figure out why the dealer would replace six volt batteries with twelve volt batteries. It will work if hooked up properly, but the thing is that deep cycle six volt batteries are much better for the house part. Twelve volt for the chassis, cranking of the engine is just fine.
Best of luck with your new coach.",Chassis
"I dropped the roof panel of my Coleman Mach unit to try and identify any hot to cool leaks. There is an insulated piece of foam that separates the two sides. I used some duct tape in the cold side to improve the seal. There are only two warm air intakes, both about 2"" x 3"", that are supposed to feed air to the system. That seems quite inadequate. Any known solutions to increase the return air?",Exterior
"""off"" is the best place for wheel covers
.
that goes for Valve core extenders, as well",Chassis
"Quote:
Originally Posted by Deny
""off"" is the best place for wheel covers
.
that goes for Valve core extenders, as well
Totally agree! Mine never left the dealer. I tossed the extenders and replaced them with gator caps. You can check and inflate the tire without removing them but they seal the valve stem.
They're a buck apiece from any truck tire shop.
Given the price of RV tires
and the risk of damage from tire failure, I'm a pressure fanatic.",Chassis
"Quote:
Originally Posted by AITG
Totally agree! Mine never left the dealer. I tossed the extenders and replaced them with gator caps. You can check and inflate the tire without removing them but they seal the valve stem.
thanks to you guys for the post about the gators. i'd never heard of them before so I did a quick search, understood the concept and ordered from Amazon. They'll be here tomorrow for the motorhome and both of our cars.",Chassis
"Lubed slide seals, and slide gears",Electrical
"Replaced a broken shear pin on my main slideout today at the campground.Was getting ready to leave and running slideouts in the main one quit half the way in.Went out and checked the mechanism and the pin had broken ,replaced with a grade 8 bolt and nut and was on my way.Took about 10 mins. as I have done this before ,Camping World says there is nothing wrong withe slideout but it has broken about 6 pins sine I have had this unit.",Electrical
"Quote:
Originally Posted by 06georgieboy
Replaced a broken shear pin on my main slideout today at the campground.Was getting ready to leave and running slideouts in the main one quit half the way in.Went out and checked the mechanism and the pin had broken ,replaced with a grade 8 bolt and nut and was on my way.Took about 10 mins. as I have done this before ,Camping World says there is nothing wrong withe slideout but it has broken about 6 pins sine I have had this unit.
You might rethink using a hardened bolt in your slide out drive.
Sometimes shearing a bolt saves a more expense part.",Electrical
"Finally replaced the Lift Pump on my 8.3 ISC Cummins....stripped the threads on a banjo fitting. Had to get a second replacement pump. This time also ordered ang got new gasket for original pump, to repair and keep on standby.",Chassis
"Quote:
Originally Posted by 06georgieboy
Replaced a broken shear pin on my main slideout today at the campground.Was getting ready to leave and running slideouts in the main one quit half the way in.Went out and checked the mechanism and the pin had broken ,replaced with a grade 8 bolt and nut and was on my way.Took about 10 mins. as I have done this before ,Camping World says there is nothing wrong withe slideout but it has broken about 6 pins sine I have had this unit.
I know exactly what you are going thru as our last coach was a 2006 Georgie Boy Pursuit. The first day when were got home with our new to us MH the front driver side slide wouldn't go in, motor worked but no slide movement. Looking under the slide to see what was going on i saw other pieces of broken shear pins of various types. I used a bolt for the temporary fix. Thought okay this is probably why i got such a good deal as the previos owner wasn't as handy.
One of the broken pins looked like a roll pin which i couldnt find in any stores so i got a 1/4"" SS clevis pin. I bought several just in case. That broke again some time later. The second pin i put in i removed after the 6th use to see whats going on and it was bent and would soon break. I took a 1/4 drill bit to clean up where the pin went, put a new one in without having to use a hammer and punch and at the 6th slide use i just pushed the old one out with the new one. Only took a few minutes. I was concerned what would happen if the pin would break when the slide was almost in, that would be a very difficult repair.
It didn't take long to use up my supply of pins and started a search. I found a manufacture of quality SS pins at pivotpins.com. Only catch was their $35 minium order. I had a supply to last a lifetime. The 1/4 pins i bought had the small hole in the end where i put a cotter pin in so it wouldnt fall out. When we traded in that GB all i could pass along to the potential owner was the pins i had in the coach. Somewhere in my garage i will eventually find that bag of pins.
Over the 5 years of owning the GB every time we met another GB owner they would ask if i had a problem with the slide. I would say yes and tell them my work around. This was most likely an under engineered design subject to fail.",Electrical
"Added two large quiet fans to the upper vent of my fridge (external).
Drilled a hole through the fridge from the outside to accommodate 12 volt wiring from a small interior fin fan for the frig as well. I had the wiring for the fin fan routed down the condensate drain line, but it was obstructing the draining action.",Electrical
"While on my trip (Seattle to HB, Ca.) I had a trans slip issue start up while on the last leg of the pass just south of Ashland, Oregon. After cresting the RV would not go beyond 30-35mph. Pull off at Yreka, Ca. stayed the night (Baxters Auto lot).
The next morning they sent me over to Onarheim truck repair. Mechanic checked what I had checked (fluid) which was perfect no issue. he also drove it without issue. Says it may have gotten hot.
Continue on south. Made it to HB, Ca. (shot over from the 5 to the 101 via 505 - 680 - 101). No issue.
On the return trip ~10 days later just south of Willits, Ca. (after a pass) I had it do the same thing again. This was after driving without issue from just north of San Louis Obisbo.
Same results next morning no issue. However roughly 35 later same issue popped up. This time I could tell the trans was in limp mode. Not going from 2-3. Quickly realizing that when turning of the engine and restarting it resets and all is ok. Now beginning to look like shift solenoid issue. Did this (3) until I reached Grants Pass, Oregon and stopped the night. Ended up staying just outside of Jerry's Clutch & Transmission (Great guy). While stopped I used paper clip to pull codes 68 and 87.
The following morning (Joe) mechanic used computer and pulled same codes:
68 - Trans slip
87 - Shift solenoid stuck open
He quickly fixed it by stating the 68 slip can be resolved by turning the force valve up 1/4 turn and we'll replace both shift solenoids A & B.
While we had the RV up on rack he also found that the trans wire connector was leaking as well. Replaced it with upgraded one. Back on the road in roughly 2-3 hours. $290
So if anyone ever has trans issue I highly recommend Jerry's clutch & transmission in Grants Pass, Or.",Chassis
"Quote:
Originally Posted by Radacravitz
what type of roof were you painting?
what we're your criteria in selecting your paint / material?
the reason i'm asking is because i'd like to remove the unnecessary parts from our roof, dicor / eternabond and waterproof as best as possible. i've been leaning toward henry tropicool as the seal but am interested in hearing about your decision process.
tia
Tia, I have a fiberglass roof on my coach. As a member of the Beaver Ambassador Club I took the advice of the multiple members there who have used this same method to clean and restore the roof. I am very confident this roof finish will last a very long time. I believe if you go to the Beaver Ambassador Club web page and look under the technical support tab down a ways you will see complete instructions on ""How to""
As for removing the old dicor on the roof I found a multitool with a scraper worked very well. quick and easy to get rid of the old build up, no damage to the fiberglass at all.
Good luck","Adhesives, Sealants, & Cleaners"
"Quote:
Originally Posted by CoachStreamr
Do you have any pictures of the vents with eternabond tape? I'm curious how the hinge for the vent's hood was handled.
.
CoachStreamr, I did not use eternabond tape on the vent hinges. Only used that to cover the various small holes in the roof from the old CB and Satellite stuff I removed. Used Dicor on the vents.","Adhesives, Sealants, & Cleaners"
"Quote:
Originally Posted by Golfer Guy
CoachStreamr, I did not use eternabond tape on the vent hinges. Only used that to cover the various small holes in the roof from the old CB and Satellite stuff I removed. Used Dicor on the vents.
I see, so no eternabond around the perimeter of the vent, correct?
I have a Thread linked below where I asked about this. Seems that many do Dicor, wait 24 hours then EternaBond tape around the vents but I'm not sure how they handled the vent hinge (front side of vent)...
http://www.irv2.com/forums/f258/appl...ml#post3777338
I'm going to take more of the old Dicor off and clean then apply new Dicor today or tomorrow. Have the EternaBond tape and roller here but confused on the vent hinge.
I replaced a few of the rusty head screws with new SS #8 1"". Have one screw that doesn't want to seat all the way so probably will use a #8 3/4"" in that hole. Probably didn't need to replace them and maybe it wasn't wise.
This image has been resized. Click this bar to view the full image. The original image is sized %1%2.
.","Adhesives, Sealants, & Cleaners"
"Quote:
Originally Posted by Golfer Guy
Cleaned and painted the roof. Used simple green to clean. Scrubbed with a red 3m pad to get super clean. removed all old roof attachments that have become obsolete (CB radio antenna
, anemometer, old satellite wires etc) sealed all holes and vents with dicor and eternabond tape. Put new fantastic vent lids on with new lift motors and arms. Painted the roof with 2 coats 3 1/2 qts total of Rustoleum Top Sider anti slip deck paint. Should eliminate chalking and streaking down the sides. Nice to know everything is well sealed and pristine up there.
What did you apply the Rustoleum with? I will eventually repaint mine.","Adhesives, Sealants, & Cleaners"
"Quote:
Originally Posted by Golfer Guy
Tia, I have a fiberglass roof on my coach. As a member of the Beaver Ambassador Club I took the advice of the multiple members there who have used this same method to clean and restore the roof. I am very confident this roof finish will last a very long time. I believe if you go to the Beaver Ambassador Club web page and look under the technical support tab down a ways you will see complete instructions on ""How to""
As for removing the old dicor on the roof I found a multitool with a scraper worked very well. quick and easy to get rid of the old build up, no damage to the fiberglass at all.
Good luck
gotcha, thx very much for the details and suggestion wrt beaver ambassador club thread ... on my way.
take care.","Adhesives, Sealants, & Cleaners"
Just did the first fluid change in my Allison to Transynd will change again probably next year and that should be good to go.,Chassis
"Nothing! Bummer! Have had this thing since the end of May
and still have not used it for anything. Only worked at
repairing stuff, but have not actually repaired stuff. This
thing throws more curves than Sandy Koufax. Thought that I
had a coolant leak fixed, but apparently it is still leaking
somewhere. Needs new shocks, kept getting conflicting
information about what it required in the way of shocks.
finally found some that seemed would work and ordered them,
but can't install them because the rig seems to have
non-standard shock mounts. 4/8 inch bolt on top, but 5/8
inch bolt on the bottom. Bought a drill press
today to try
to bore out the sleeve on the lower shock eye. Almost
nothing works. Steps stopped working the day after I
bought it. Jacks do not work. The list goes on and on...
The air conditioners
do work great, though. As does that
venerable old Cummins B5.9 that pushes it around. It
purrs along like a little kitty. Summer is almost gone. Sure
wish that I could drive around a little. Oh well, just keep
slugging away.",Heating & Cooling
"New Plugs, Wires,shocks and four new Jacks. If you need something to do get a Motor home",Chassis
"I had to take mine into the Ford dealer today as I was hearing strange sounds coming from the front passenger wheel well. And the patterns on that tire appeared 'pushed out'. I had an idea what the problem was. And the Ford dealer confirmed it. So I am now having the ball joints replaced, a front end alignment and the bad tire replaced. Ouch! At 149K miles it doesn't surprise me.",Chassis
"Quote:
Originally Posted by PulShrk
I would like some of your knowledge on fixing the faulty turn signal
in my 1998 Damon intruder. Curious if you can give me a quick run on what to grab and get that knocked out?? If not. No worries.
I'm not familiar with your model coach but my coach is on a Gillig chassis and I bought the replacement switch assembly from Gillig. The part is made from a nylon plastic which I believe is true for all makes and model vehicles. The tab which returns the turn signal
lever to the neutral position after completing a left turn had broken and I would have to manually return the lever to the middle (off) position.
If you have a switch to turn off your air horns then turn them off first. The, remove the horn button
to expose the steering wheel bolts and the large center nut. My steering wheel is mounted with three allen head bolts. After removal of the steering wheel I removed the center nut which holds a backing plate in place. You will then need a steering wheel/hub pulling tool and three of the same thread sized bolts as the allen head bolts but longer. The tool can probably be bought at any auto parts
store and may, or may not, come with the bolts you will need. Before removing the hub use a Sharpie or similar to mark the position relative to the steering shaft so that your steering will be reinstalled in the same position at reassembly. You will then have access to the switch assembly. Disconnect and remove the assembly. The wires go down along the column. If your wires don't have a plug you have to cut and splice the new wires into place. if your coach doesn't already have a switch to turn off the air horns then this is a good opportunity to install one. Mine did not have a switch and more than once the horn was blown at a less than ideal time. (I blame my kids.) put everything back together and you should be good to go.
Hope this helps.",Chassis
Forgot to mention that I had to replace my control box for the HWH Jack's about 2 months ago.,Chassis
"I just went through all my basement doors and reworked the hold up brackets changing the nylon washers used by the factory to metal washers. Now they all operate smoothly again without catching when trying to raise them.
jt",Hardware
"Last trip we picked up a thump at low speed on a smooth road after running down a gravel road. Today I jacked up all four corners to inspect the tires. Everything is fine. While I was under, I re-inspected every line I could find. Ended up re-locating an anti-wear pad on the left front frame rail that protects the power steering
lines, pushing a nylon wire clamp into it's proper location and clamping down the right front brake line
. That one I found by feel-it's on the back side of the front crossmember
.
303d the tires, adjusted air pressures and called it a morning.",Chassis
"Quote:
Originally Posted by whiteva
3 days before Irma, all fluids replaced or levels checked including generator. Manual check of tire pressures compared to the TPMS. Loaded required alcohol, beer, sardines, steaks, breakfast food, ETC. Ready for bug-out if necessary.
Cheers
I did all that and actually did bug out !!",Chassis
