product,content
Heating and Cooling,"February we fixed a minor generator issue and a major Hydro Hot issue. Next week is oil change. June is new tires on the steers, new shocks, alignment and brake check. MIGHT install a Safe-T-Plus."
Electrical,Fixed faulty turn signal assembly in steering column.
Electrical,"Front shocks, steering stabilizer damper. repair shower door, re-caulk roof, Install bumper slinky holder, grease, replace vacuum rubber connectors, Install ARP control on refer. getting ready fro first trip in May."
Chassis,"Got temp plates on Friday, passed emissions on Friday as well with flying colors. Full clean and detail is ongoing. Rear, front and one side done with the buffer. Buffer is evil i might add. Next Saturday the girl will have new shoes on the rear. Oil and filter changed. Chassis lubed. All good so far."
Chassis,"Had the airbags replaced (after 20yrs I figured it was time) then did a chassis lube, installed crossfires, added tpms system, flushed and bleached the freshwater system. Next weekend I'll do the filters and we'll be ready for the first trip of the year."
Chassis,"Hmm, two new chassis batteries, new service on Aqua Hot, removed, threw away Roadmaster Invisibrake, , installed new state of the Art SMI Air Force One supplemental braking system. Enough already"
Other,Hmmm... let's see. Lately?
Electrical,I changed the battery in my satellite remote control. 
Electrical,"I just had the tran service done, and cleaned the coach. Now all thats left is 4 new 6v batteries for the house and we are ready."
Other,"I know , I know.. not a class A anymore.... dang I hate having nothing to fix..."
Other,I sure wish someone else had maintained it a little better.:-))
Other,"I'm not sure if it will ever end. I started out with an entry level rig, if I keep going I may end up with a high end coach 🚍!"
Other,"I'm watching this. If I spill my cocktail, I'll have to clean it up."
Electrical,Installed a new slide out motor on the Galley slide. Almost thought I'd bit of more than I could chew but all's good.
Other,Is it ever enough?
Other,Isn't that enough?
Winterizing,"It took all winter but I had to replace throttle link and return springs. Road test between places we stayed and adjust as needed. FL,MS,TX and finally got it right in NM. In AZ now and all is good. "
Electrical,"It's always something with these toys. I had the banks power pack exhaust and headers installed since the MH had broken bolts in the exhaust manifold. BTW, the Banks is not cheap but best money I ever spent...it's like driving a New motorhome! Installed Koni shocks, also money well spent. Tuned it up with new plugs, wires, distributor cap, coil, pvc. 4 New Michelins on the drive axle. New kitchen faucet, upgraded power converter to progressive dynamics unit, and am trying to see why the bedroom reading lamps don't work. Oh, also removed the fuel tank and cleaned it out and had a shop re-weld the seams due to a leak. That was a pain, especially since it had about 45 gallons of fuel in it and an anti syphon device so couldn't syphon it out. Later I will need to address a leak in one of the rear hydraulic jacks but this is enough for now. Even with my belly aching....I love this MH and I actually enjoy tinkering with it."
Other,It's been a busy 2016 so far 
Other,I've started looking into replacing shocks and airbags. Also looking into steering stabilizers and track bars. Undecided at this point but research is everything
Other,I've started looking into replacing shocks and airbags. Also looking into steering stabilizers and track bars. Undecided at this point but research is everything
Other,Just got our RV back from the repair center for large hole in roof repair. Once we started checking it out had to fix the following:
Other,Just starting the re roof project on the Dutch Star. Lots of learning.
Electrical,"JUST TEASING, my floor creaks in one spot like crazy though, and my ""single stage"" charger will COOK my batteries if I leave it on too long.... "
Heating and Cooling,Leant the moho out this weekend and my boss said the fridge wasn't cooling properly. Looks like I'll be diving into that this weekend
Other,Lol. Priorities are a must. I must add the only reason I was able to do any of these things is because of the info and help I received on this forum. Always start here and then watch you tube videos until I feel confident
Exterior,Missed two things on our PDI on our new rig. A broken toilet bolt and a cracked upper awning bracket. Have had them both fixed for little to no money.
Other,My wife found a mat that fits our bathroom floor perfectly.  stoked about that!!!!!!!!!!!!!!!!
Chassis,Need to replace trombetta solenoid for slides and leveling system! Replaced awning topper on living room slide! Replaced chassis battery's on way home from Florida!
Other,Next stop? 
Other,No amount of money can buy you an extra second of time.
Other,"No way. If DH is promoting this idea, then that is also a problem..."
Other,Now everything is back to normal and operating properly.
Heating and Cooling,Now working on dash heat...can not get any info. See..(96 HR dash heat)..thread.
Heating and Cooling,Our coolant bottle developed a leak on our maiden voyage. Had to replace the darn thing.
Other,Painted all the ugly brass fixtures to silver/grey.
Wiper Parts,"Realigned wiper arm, parked too low on the windshield. It's in the shop now to replace the GY 670's wi Michelin's - to finally fix the vibration (I hope), safe-t-steer going on as well. Already added Centrumatics. 5-star tune added last week - I popped a wheelie! <just kidding>. Shifts feel much more positive and it really settled down on cruise control on the limited test drive I took. Installed dash clips that were left off from the factory and I discovered while wiring the TPMS to get power - Thor sent me some clips. Installed an oxygenics shower head, screen door grab bar, and a sound bar on the lounge TV."
Other,Replaced both bathroom sink faucets.
Other,Replaced fuel shutdown solenoid on the Onan. 
Other,Replaced kitchen sink faucet.
Exterior,"Replaced the sky light, twice--being anal it wasn't as good as it should have been (how is it a perfectly square sky light that fits over a perfectly square hole in the roof can't be screwed down any way you put it--seems the pre-drilled screw holes have a reason). Took out the toilet and completely replaced all the parts and put it back and the sprayer didn't work (seems you have to cut a nipple off the fitting if you use a sprayer). Took my coach to a dealer for step recall, ac service and replace ac roof seals. On the way a friend caliper locked burnt out ABS. Had the coach a week due to parts screw ups. Back home, waiting on the ABS sensor but brake job done to front end (new rotors, calipers, pads) now the front ac not working. They put ac down on wiring loom and it arc'd in the connection from thermostat to ac. Back one works great, front one not getting ac power. Paid a local guy for 3 hrs to trouble shoot--he replaced the little connector for the thermostat wire and ac but that didn't correct problem. Dealer will have to do. Oh, I just had knee surgery last Friday--a month after foot surgery opposite foot. I need a little good juju to come my way!"
Other,Replaced toilet seat and lid with soft close unit. No more occasional startling toilet lid slam if it gets left up while driving.
Lights,Replaced two original dimmers (overheating/fire hazard) with touchpad dimmers 👍🏻.
Heating and Cooling,Replaced vent toppers some city trees really didn't like.
Lights,Replaced/fabricated new outer plexiglass headlight lenses 👍🏻.
Electrical,Replaced/upgraded on board Thomas electric auxiliary air compressor with much improved (and louder &#128528 Vlair 12v compressor.
Other,Shined up the Bird for some Summer Crusin.....
Other,"Slide toppers: Call Chris at StoneVos in Brooksville, FL Excellent!!"
Chassis,"So far in 2016 I have added 300 watts of solar, oil change on genset and engine, added balance rings, cleaned up some 'fixes' from the previous owner, lubed the chassis, fixed the screens the kids broke, fixed the kids bedroom door they broke, I'm sure there are other things and the kids will break something else with the first use in a couple of weeks. Almost seems like a full time job with the up keep and the kids."
Other,Thanks for the link brother!!!!!
Other,that's pretty darn sweet looking! 
Other,They have to be better then the leaky one that was on it.
Other,Trying to decide on a trac bar - getting a little push on the highway with trucks passing or stiff breezes...and maybe sumo springs.
Heating and Cooling,"Ugh, not what I've done. What I need to do. Replace air filter, drain and flush coolant for MH and generator, change cartridge on air dryer, change transmission filters and wash and wax. Did I say ugh? 😕"
Other,Washed and waxed.
Other,"Well..I ""had fixed"" the exhaust manifold, the exhaust-brake tube, a serious fuel leak and the toad brake pump all in one gulp at the shop. Remaining is the drippy water drain discovered at the shop and the dead dash air."
Other,"What have you fixed, repaired or maintained lately"""
Other,"When we get back, if we still like it, I will probably replace the rubber roof along with a few other things. At that point we will probably keep it for many years."
Other,"^^^^^ Nice. Wife was up there and said the fins were looking bad. I even went to Harbor Freight, but forgot to grab the radiator comb. Congrats."
Other,70 psig difference.
Other,A good RV tech should get at least 40 - 45 an hour. Perhaps a family discount of 10% is in order. LOL.
Other,Also I am trying to find/fix a nasty oil leak (not fun)
Heating and Cooling,and did all the filters and fluid changes
Other,And much easier on the system.
Other,And then there is thoughs that don't fix a thing and want a premium price when selling...
Other,And... I never found the leak
Other,"But it took me 2 hours to repair the aluminum fins, hence the before picture it was daylight and the after picture was night time.....hahaha!"
Other,Changed oil and filters.
Other,Checked the discharge pressure before & after repair.
Heating and Cooling,Clean the CAC unit from motor side (vary dirty)
Other,CO detector
Other,"Currently I am doing a conversion from the original old tv to a 32"" LCD model."
Other,"Dad was prophetic about the house. He said, ""Your brother will inherit the house and you will end up maintaining it""."
Heating and Cooling,Did you use AC DELCO plugs? Looking for 10 mm wire.
Interior,Dry Cleaned front curtain
Other,extended slobber tube to rear stone guard and a plastic catch bottle
Other,Filled DEF tank
Other,first trip is coming up in 3 weeks.
Other,Fixed boo-boo on rear corner where DW backed in to a stop sign (don't ask).
Other,Fixed front drink holders
Other,Flat towing a modified 2005 Jeep (Rubicon Wrangler)
Other,Fuel filter(s)
Other,Full Timers.
Other,Gave fridge a good cleaning.
Other,Getting ready for our summer vacation which will take us out of the stick house for most of the rest of the year.
Other,Good times
Chassis,Greased chassis
Other,Greased the zerk fittings
Chassis,Had to have a front jack replaced. thankfully I had a 5/50 insurance policy I purchased with the motorhome. They are great people and paid the largest part
Other,Here are the before and after pictures
Door Locks and Parts,"Hey all, put child proof latches on some drawers to keep them from opening when moving. Installed beverage rack under the dinette seats. Fixed outside electrical outlet that would trip the gfi. Installed new King tv antenna. New shower head in bath. Pulled toilet and fixed flush mechanism. Some things I couldn't do. New safe t plus, Monroe shocks, front end alignment. Fix tv cable on roof. We are ready to travel! Be great to get our baby rolling."
Hardware,Hinged the cabinet cover for inside access to water heater (had been screwed on by factory).
Other,Hmm. Does it count as doing something if you can't get it done ? DH called Frigidare for service on fridge in 2016 Forest River Berkshire. Frigidare cannot dispatch service because the item is not where you registered it from!! They did offer to sell us an extended warranty!? Our first trip since purchase last Sept & waiting for the real fun to begin . Lol
Other,I am ready for a road trip!!!
Other,I need to replace mine and keep the old one as a spare. Or buy a new one and just have it ready to swap I guess
Heating and Cooling,"I replaced the oil cooler gaskets and seals on my CAT 3126. If you're looking to do something that requires folding your arms and body in ways that aren't humanly possible, I suggest trying it."
Interior,I think that my coach originally had a combo co2/smoke detector that was hardwired into the 12v. I now have a battery powered seperate smoke detector and co2 detectors mounted in seperate locations. Not sure why but this is how it was when we bought it.
Other,I would love to see pics of the finished product. I have a 97 Pace
Other,If you install an off the shelf one make sure the old one wasn't tied to the propane tank. Because some will turn off the gas.
Other,I'm in the middle of replacing all of the rubber brake lines
Other,In process of making a rear track bar.
Electrical,Installed 2 12v outlets on the center console.
Exterior,Installed Flag Pole Buddy mount on the rear ladder.
Other,It's fun to fix things and learn!!!!!
Heating and Cooling,Just finished making some repairs to the condenser fins on my main A/C unit
Other,Just reinstalled the drive belt on my Splendide 2100XC Combo WD. So far so good!
Other,Just starting my second year of ownership and not really sure of the maintenance history. A little more confidence this year of doing things myself vs. paying to have it done. so the list getting ready for my racing season travel:
Other,Latest pm and maintenance on my coach.
Other,Life is good.
Other,Like I always say.... If it ain't one thing... its something more expensive
Electrical,Living room slide inoperative. Studied schematics. Study pointed to the HWH Clamp Control box. Ordered box from HWH. Replaced box. Slides work OK now.
Chassis,"Looked into putting a spare tire up in the rear chassis area, not sure how to secure it."
Other,Lower Head pressure = Lower Operating Cost
Other,Made new wood corner posts for next to bed cuz originals were beat up by previous owner.
Other,Maybe better to just buy a portable unit and install ???
Other,"Neway Freightliner chassis, 2018 Buick Envision Ess."
Other,Now all my tires are less than two years old
Other,Now the daughter and her husband own our old Bounder and they want to take it on their first vacation trip in a few weeks. The husband is eager to help and learn about their new toy but he is very busy with work at present.
Other,Now...since the first trip:
Other,Obviously A Lowly and Inferior MH
Other,"Oil change and filter, 5w40 T6 syn"
Other,"On a good note, it no longer hemorrhages oil. 5 gallons of oil from South Carolina to Chicago was my last adventure."
Other,"Once I finish the drive train, going to replace the commode with a high rise model."
Other,"One of my wife's tactics for getting me to buy her a new mh included ""You won't have to do as much maintenance with a new one""."
Other,Ordered Rejex for the front cap.
Chassis,Over the last several days I've polished two wheels to a chrome finish and cleaned the engine service bay..... two more wheels to go
Other,Planning on doing the trans filters to upgrade to full syn
Other,Previously a 2002 Fleetwood Pace Arrow 37A and a 1995 Safari Trek 2830.
Other,Put in a new Convection Oven which required cabinet carpentry work.
Electrical,Put in Inverter
Lights,Put in LED's
Plumbing and Water,"Rebuilt macerator, installed new water pump, greased coach and completed aqua hot servicing. Still need to reseal couple of spots to eliminate intermittent leaks. Then hitting the road for a month and a half."
Other,"Recon, D,2/7, 1st Cav '65"
"Adhesives, Sealants, and Cleaners",Reglued the end seals on the full wall slide.
Other,"Removed the old CRT in the dash and made an oak cabinet to replace it. Flat screen already installed. Also installed new flat screen in bedroom. Replaced all fluids and filters, new Koni shocks all around. New steering stabilizer shock, new airbags. Lubed all points under MH. New plugs and all new filters. Had brakes inspected and fluid replaced. Replaced kitchen faucet and fixed plumbing leaks. Installed new Roadmate 9145LMS."
Chassis,Repaired hydrolic jack
Plumbing and Water,"Repaired water connection for city water (still need to replace the fitting for assurance). Now need to find and repair a leak in the shower drain (I think) and probably patch a spot in the floor from. Get the front wheel bearings repacked, front end alignment and tires balanced. Replace A/C gaskets. Recoat EPDM roof and caulk everywhere (roof and body) Install fan in refer to even out cooling or possibly replace temperature controller. Cools too well with fridge at 20 degrees and freezer at 0. Recharge dash ac. Fix a couple of light switches inside. Install an inverter as this coach never had one from the factory. That should keep me busy until the next trip for the July 4th holiday! I love the life style so far but man, starting out with a fixer upper has kept me hopping."
Plumbing and Water,Replace black tank valve
Heating and Cooling,Replaced ac filter
Heating and Cooling,Replaced Air dryer filter(s)
Door Locks and Parts,Replaced cargo bay door latch
Heating and Cooling,Replaced hot water heater one-way valve; restrung day night shade; and replaced dash radio.
Other,Replaced oil in Diff (Mobile Delvac 75w90 syn
Other,Replaced oil in front hubs (was vary dirty 75w 90 syn)
Plumbing and Water,Replaced the house water pump.
Electrical,Replaced the rear shocks today. Did the front shocks and stabilizer damper last week. Was going to just do the fronts but decided to replace the rears also. Happy that I did as they were shot. The new shocks (Monroe RV ) Look more stout then the originals.
Other,Replaced three out of four rear tires.... Two along side of the road in West Texas when the outside duelly blew(when I looked at the inside.. I told the road service guys too bring two) and one at Les Schwab in Denver as a precaution because it was just as old as the two I'd just replaced on the road. The forth was replaced in Montana last fall.
Other,Replaced TV's
Other,Replacing gen set oil
Other,Safe T Plus
Plumbing and Water,Sanitized fresh water system
Plumbing and Water,Sewer hose storage complete. I didn't like all those hoses bundled in my compartment. I saw something like this posted by C.B. on a post dated 2011.
Other,"Shouldn't the title read, ""What Haven't You Done...."". I'm so tired, but I let everything catch up with me. At least when/if we sell it, I can honestly say it needs nothing!"
Wiper Parts,"So far this spring; removed old tube TV last year, and finally got around to installing new flat screen, Oil & Filter Change, cleaned awning, changed oil in generator, wiper blades, installed transmission temp gauge, Filled up with gas before prices headed back up. found some rust on the storage bins frames, cleaned up and painted."
Other,"So the guy with less maintenance to tackle is currently handling a complete brake job, which included separating the front hubs from the rotors for new replacement rotors. This will be immediately followed with the task of removing the radiator for a recore. After that is complete I will attend to the replacement of a leaking rear seal on the transmission and will wrap it up with a bevy of small repair items."
Other,Sooo..... I'll be ordering a pair of Bilsteins at $100 each
Other,Stairs up
Other,"Still to do; change transmission fluid and filter, lube all the points under MH, find,order, and replace fender skirts, ""old ones falling apart"" Clean, clean and wax."
Other,Thanks for the chuckle iamblum and Gordon. Its not all bad because the mh work gives me a break from the job of rebuilding the entire roof on my brothers house. I have been rebuilding the roof in sections the past couple summers.
Other,Then I will return the Flounder so the daughter can build her nest inside before vacation.
Other,This equals no more trips on High Head Pressure
Chassis,"This past week I lubed the chassis and adjusted the ride height. Made ramps like what a poster suggested, 2x12 built up for 6"" rise. Mine are 4' long and the 6 nicely support the coach with the extra height that I can slide around under the coach on a creeper even with the air suspension dumped. I checked to make sure before I started on the suspension. Last week added the TPMS."
Other,"This week--installed Autoformer, replaced the coalescing filter on top of engine, ran wires from batt to wetbay for portable macerator."
Other,Thought it was a great idea.
Other,Today
Other,Today I washed the facing of the tires and sprayed it with some stuff to make them look bright and nice. I also polished my rims and covers.
Other,Tracking down a leak today and found a broken rear shock attachment
Interior,Trying to trouble shoot my CO detector.
Other,Washed.
Electrical,"Watered batteries, cleaned batteries."
Electrical,Watered the batteries.
Chassis,"We also had all chassis fluids changed, and re-sanitized the tanks & filled propane tank."
Other,"We had the onan genset generator rebuilt piece by peace- had we known this a month ago, we would have just gotten a new one, but mechanic kept saying "" this is a good one! This part will do the trick!""- tons of new parts later and we have a working generator & a huge dent in our trip funds!"
Lights,"We now need to find out why a ""utilities"" toggle switch stays lit all the time ( that is a new thing) & why our top left side running light won't cone on. Fun time!"
Other,Well we bought our coach in November and just finished our 2500 mile maiden voyage a couple of weeks ago.
Other,Wheels rolling!
Other,Where to start
Plumbing and Water,Working on sewer hose storage
